L_M1_foot,L_M1_hand,L_M1_tongue,L_PMd,L_S1S2,R_M1_foot,R_M1_hand,R_M1_tongue,R_PMv,R_S1S2,SMA
-1.000597265712290351e+00,-4.405321579886590788e-01,-4.257520598539817347e-01,-1.689927278666067123e-01,-6.816306282874846634e-01,-4.064462726275479554e-01,6.523357686780114628e-01,-6.683042758728054977e-01,-3.946067034729409118e-01,1.266070653543195590e+00,7.398899444287732052e-01
8.944503393562998061e-01,-1.057037825523504670e+00,1.413411941484531142e-01,-6.822870683489798971e-01,6.029137435287433844e-01,8.004023235650811197e-01,9.264133898992924498e-01,3.093520043780278450e-01,4.163693159831230450e-01,1.347155656960440151e+00,1.538996091482212336e-01
-7.125521005182484657e-01,-8.183434759261406510e-01,-9.845933908547153113e-01,2.107219406882650803e-01,-2.715439143484653095e-01,-1.541912564585217416e+00,-6.038233480967101219e-01,-1.942625331846700443e-01,-2.017957110057125303e-01,-7.854734529950617716e-01,-2.957461383629039098e+00
8.397297848635654552e-03,7.147854059790796910e-01,-2.647716420882099797e+00,-1.651104941589353059e+00,-2.488270488236521416e+00,4.643818554284304678e-01,8.563994636730970500e-01,-1.640270941605059596e+00,-5.968455691800277352e-01,2.526475208526551136e-02,-2.320243825116760084e-01
-5.234952081665169565e-01,-6.356250854816013485e-01,-1.643152684967717825e+00,-9.175418055581520127e-01,-2.033720114301557746e+00,-8.354258361230069152e-01,-3.574943569761383499e-01,-1.136515563170323873e+00,-8.150363146569248318e-01,-8.642060908196851077e-03,-6.524554070149604090e-01
1.346194967669262166e+00,-1.075401647725443111e+00,6.225390712101180890e-01,-3.400719144150941564e-01,9.639277824436129904e-01,8.967968316183277944e-01,-6.817039029808497075e-01,1.369365594393664232e+00,5.130911759617488022e-01,2.131776058219063685e+00,6.418700238679165837e-01
5.975774163139364603e-01,1.437358681389510284e+00,1.223320719857925898e+00,8.648158830609175007e-01,1.509164746616983077e+00,8.062439134920393879e-01,7.872305436524770217e-01,1.140221960591063288e+00,7.693363198942089198e-01,-2.368233345364674503e-01,1.114649232210518648e-01
-8.085340981384520065e-01,1.021138335706321065e+00,1.485832675461687957e+00,-5.754759215089563229e-01,1.177902412237886942e+00,-7.185039283031567914e-01,9.607857224921504402e-01,8.888780985571599347e-01,-1.994852573985166633e-01,-1.298926943279632429e+00,-9.665850022047580703e-01
-1.050095798549469939e-01,2.431901500392780469e-01,1.429105814508112360e+00,1.333467789543216986e+00,6.629072455184259471e-01,-9.461724571987421006e-01,-4.346937027090794214e-01,8.582731574786554019e-01,-5.891379226838993483e-02,-4.007679601276832870e-01,-1.184763475548761269e+00
1.613056716220401920e+00,5.351368206932455296e-01,2.859079396128677342e+00,9.322743295491827675e-01,1.781365279636809129e+00,2.233789695127229358e+00,4.157210099754833355e-01,3.537850298452374531e+00,2.806057906576561400e+00,8.809139176524943826e-02,6.621029418634495345e-01
